wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
* alf CMa B,06 45 08.79,-16 43 15.36,DA,26083.0,8.61,2.67
* alf CMi B,07 39 17.88,05 13 26.76,DQZ,7585.0,7.964,3.5142
* omi02 Eri B,04 15 19.39,-07 40 22.63,DA,16265.0,7.916,5.01
1RXS J041051.2+592522,04 10 51.65,59 25 01.54,DA,30640.0,7.94,95.04
2MASS J00022257+6357443,00 02 24.88,63 57 45.88,DC,4879.0,7.939,26.28
2MASS J00274169-0300586,00 27 41.67,-03 00 58.57,DBA,18570.0,8.293,97.04
2MASS J01041212-5742485,01 04 12.59,-57 42 48.52,DA6.5,7866.0,7.52,63.76
2MASS J01213782+3440431,01 21 37.61,34 40 43.09,DZ,7326.0,8.293,38.79
2MASS J01503855-7207164,01 50 37.67,-72 07 20.27,DC,6838.0,8.132,31.72
2MASS J02114816+2115491,02 11 48.32,21 15 47.78,DAH,12244.0,8.752,59.46
2MASS J02145697+7746000,02 14 58.37,77 45 53.82,DC,4798.0,8.175,39.68
2MASS J02230030+5544272,02 23 00.45,55 44 25.94,DA,6993.0,8.342,38.30
2MASS J02494417+3307251,02 49 44.43,33 07 29.83,DA,5715.0,7.995,35.71
2MASS J03005951+5432377,03 00 59.81,54 32 34.86,DA,7650.0,8.055,48.48
2MASS J03092486+0025256,03 09 24.87,00 25 23.88,DC-IRfaint,5561.0,8.166,42.56
2MASS J03105758+6634022,03 10 59.44,66 33 55.67,DC,4681.0,7.817,38.40
2MASS J03403873-0029447,03 40 38.88,-00 29 47.17,DA,7311.0,8.167,50.07
2MASS J03432310+1958133,03 43 23.21,19 58 16.19,DA,7117.0,8.44,20.76
2MASS J04010150+5131304,04 01 02.14,51 31 17.24,DC,5064.0,8.233,25.10
2MASS J04221133-4741421,04 22 11.26,-47 41 41.89,DB,25970.0,7.79,91.62
2MASS J04255699+4614177,04 25 57.13,46 14 18.19,DC,4479.0,8.25,37.55
2MASS J04325585-3557289,04 32 56.26,-35 57 28.38,DA,4971.0,7.854,26.30
2MASS J04332980+0414477,04 33 29.90,04 14 40.58,DA,4961.0,8.05,24.30
2MASS J04555136+3840505,04 55 51.71,38 40 50.03,DA,5063.0,8.035,32.26
2MASS J05155350+2839169,05 15 53.75,28 39 15.17,DAH,6411.0,8.178,30.06
2MASS J05265609+4435395,05 26 56.49,44 35 32.80,DC,4680.0,7.853,38.89
2MASS J06023672+0904237,06 02 36.82,09 04 19.67,DA,5956.0,7.941,37.30
2MASS J06214164-4016187,06 21 41.77,-40 16 24.55,DZ,6151.0,8.184,23.68
2MASS J06322939+2230050,06 32 29.20,22 30 02.10,DA,5449.0,7.961,37.19
2MASS J06443019+2731115,06 44 30.00,27 31 10.67,DA,6961.0,8.383,38.58
2MASS J06503681+1657538,06 50 36.60,16 57 50.83,DA,5052.0,8.028,29.19
2MASS J06533021-3954292,06 53 30.12,-39 54 25.56,DA,6135.0,8.022,24.79
2MASS J06533533-3955335,06 53 35.25,-39 55 29.66,DA,7034.0,7.985,24.84
2MASS J06553850+5920276,06 55 38.51,59 20 24.89,DA+dM,12050.0,8.48,85.56
2MASS J07085228-6706314,07 08 51.67,-67 06 32.93,DCP,4862.0,7.86,16.96
2MASS J07111440-2518152,07 11 14.28,-25 18 11.89,DA4.5,10708.0,7.414,52.90
2MASS J07353430+6506487,07 35 34.33,65 06 48.61,DA+M4,6300.0,5.07,95.83
2MASS J07503233+0918580,07 50 32.18,09 18 56.75,DA,5111.0,7.947,44.55
2MASS J07535663-2524016,07 53 56.27,-25 23 58.18,DA,4939.0,7.897,17.82
2MASS J07591942+3219485,07 59 19.44,32 19 47.97,DA+M,14065.0,7.42,91.53
2MASS J08075600+4854195,08 07 56.01,48 54 16.64,DA,6546.0,8.06,70.61
2MASS J08095109+2250541,08 09 51.06,22 50 53.79,DA,6660.0,8.179,55.26
2MASS J08203701+4310048,08 20 36.91,43 10 03.64,DA,6925.0,7.369,91.07
2MASS J08221922+2023264,08 22 19.26,20 23 24.42,DC,7038.0,7.546,43.36
2MASS J08313272+1322444,08 31 32.77,13 22 43.39,DA,15819.0,7.916,98.57
2MASS J08490170+4439355,08 49 01.35,44 39 33.78,DC,5907.0,8.155,46.86
2MASS J08554980+3700171,08 55 50.05,37 00 15.36,DA,5757.0,7.735,52.76
2MASS J09063859+0700598,09 06 38.59,07 00 59.22,DA,17262.0,7.956,76.63
2MASS J09071236+3643184,09 07 12.37,36 43 17.27,DA,8632.0,8.257,51.95
2MASS J09160189+2259476,09 16 01.69,22 59 47.07,DA,5794.0,8.153,55.85
2MASS J09391849+5729013,09 39 18.49,57 29 00.42,DA+M,13904.0,7.61,86.86
2MASS J09411519+0901549,09 41 15.19,09 01 53.05,DQ,8634.0,7.354,89.53
2MASS J09485008+1319275,09 48 50.17,13 19 25.70,DA,6815.0,8.04,53.95
2MASS J09534504+1258295,09 53 45.06,12 58 29.81,DA,12260.0,8.09,94.32
2MASS J09551069+1802151,09 55 10.71,18 02 15.86,DA,10948.0,7.989,78.38
2MASS J10060916+0044169,10 06 09.12,00 44 17.31,DA+dM,7471.0,7.981,80.06
2MASS J10141450+0401369,10 14 14.25,04 01 37.80,DA,7515.0,7.996,50.52
2MASS J10143597+4226228,10 14 36.16,42 26 20.40,DA,7799.0,8.456,31.26
2MASS J10145164+4541479,10 14 51.60,45 41 47.97,DA+dM,4000.0,7.455,77.51
2MASS J10164526+1920542,10 16 45.30,19 20 53.45,DA,12030.0,7.95,94.59
2MASS J10180002+0838206,10 17 59.81,08 38 18.67,DQ,7539.0,7.917,43.71
2MASS J10221035+4612491,10 22 10.37,46 12 47.40,DA,7076.0,8.17,32.95
2MASS J10312192+2023144,10 31 21.96,20 23 14.69,DA+M,12888.0,7.91,88.96
2MASS J10351480+3907183,10 35 14.79,39 07 17.96,DA+M,25302.0,8.11,88.0
2MASS J10445935+3605548,10 44 59.20,36 05 54.32,DA+M,8187.0,9.09,92.08
2MASS J10470920+3453463,10 47 09.10,34 53 46.06,DA,8254.0,7.305,79.43
2MASS J10480182+6334487,10 48 01.22,63 34 46.55,DA,5151.0,7.951,34.34
2MASS J11004434+4823036,11 00 44.28,48 23 00.82,DA,7420.0,7.75,77.56
2MASS J11061649+4518556,11 06 16.32,45 18 54.70,DA,7484.0,8.413,40.28
2MASS J11094130+5512289,11 09 41.45,55 12 25.78,DA,7050.0,8.584,35.80
2MASS J11142462+3341243,11 14 24.62,33 41 21.82,DA+dM,8224.0,7.965,97.63
2MASS J11142536+3808216,11 14 25.18,38 08 20.63,DA,10602.0,8.003,78.47
2MASS J11153694+0033171,11 15 36.99,00 33 13.07,DA,4988.0,7.513,39.89
2MASS J11182722-4721570,11 18 26.68,-47 21 56.41,DC,5910.0,8.077,17.04
2MASS J11214601+1553256,11 21 46.03,15 53 25.76,DA,7392.0,7.929,80.11
2MASS J11273153+0623050,11 27 31.56,06 23 03.88,DA,8474.0,7.981,72.52
2MASS J11310905+0643061,11 31 08.98,06 43 06.50,DA,7550.0,7.895,68.85
2MASS J11375649+5740225,11 37 56.47,57 40 21.42,DAH,7586.0,8.161,47.43
2MASS J11450979+3813292,11 45 09.75,38 13 29.34,DA+M,,,76.99
2MASS J11505233+6831161,11 50 52.40,68 31 15.31,DA,6709.0,8.27,17.09
2MASS J12063596+0823090,12 06 35.74,08 23 10.98,DA,8161.0,8.027,62.32
2MASS J12101023+3347239,12 10 09.81,33 47 19.63,WD+M,6300.0,10.0,45.89
2MASS J12173025+3226334,12 17 30.15,32 26 33.89,DA,7269.0,7.925,79.47
2MASS J12212103+3306350,12 21 21.00,33 06 35.72,DA,7718.0,7.949,93.08
2MASS J12332966+6008546,12 33 29.71,60 08 55.72,DA,8354.0,7.669,77.94
2MASS J12334759+1253454,12 33 47.61,12 53 46.72,DQ,6698.0,7.97,50.37
2MASS J12341097+5808155,12 34 11.05,58 08 15.78,DA,13124.0,8.056,98.52
2MASS J12351567+5503178,12 35 15.81,55 03 17.40,DA,8278.0,7.356,99.25
2MASS J12374322+6023203,12 37 43.03,60 23 22.61,DA,5091.0,7.878,46.42
2MASS J12521518+0410428,12 52 15.19,04 10 43.08,DA,11480.0,8.057,68.52
2MASS J13002125+0130453,13 00 20.86,01 30 47.71,DA,5387.0,7.994,35.97
2MASS J13131314+0226457,13 13 12.34,02 26 44.03,DC,4278.0,7.885,30.88
2MASS J13195420+0134182,13 19 54.17,01 34 17.98,DA+dM,6300.0,7.07,87.34
2MASS J13453297+4200437,13 45 32.69,42 00 45.71,DC,4648.0,7.313,37.47
2MASS J13520197-0054195,13 52 01.99,-00 54 20.47,DA,7111.0,8.0,68.64
2MASS J14155889+4337160,14 15 58.93,43 37 15.00,DA,6864.0,8.074,68.39
2MASS J14200627+5322351,14 20 06.45,53 22 32.56,DA,7501.0,7.729,63.41
2MASS J14414721+5816565,14 41 47.04,58 16 56.14,DA,6597.0,8.03,65.26
2MASS J14485925-0232293,14 48 59.00,-02 32 32.57,DA,9199.0,8.006,78.39
2MASS J14523000+4625123,14 52 29.94,46 25 13.92,DA,10425.0,7.784,72.88
2MASS J14552136+5655442,14 55 21.20,56 55 44.57,DA,15149.0,7.991,52.01
2MASS J15104562+4048271,15 10 45.53,40 48 28.47,dMe,34521.0,5.82,72.98
2MASS J15110990+4048014,15 11 09.67,40 48 00.23,DA,8327.0,7.358,54.97
2MASS J15251217-0421286,15 25 12.18,-04 21 28.81,DA,9977.0,7.963,73.93
2MASS J15333300-0206556,15 33 32.89,-02 06 57.29,DA,11208.0,7.91,91.46
2MASS J15390421+5811158,15 39 03.98,58 11 16.73,DA,7095.0,8.035,71.12
2MASS J15395084+0154001,15 39 50.89,01 53 59.62,DA,8761.0,8.025,87.78
2MASS J15495631+2009143,15 49 56.29,20 09 14.14,DA,8765.0,7.924,85.95
2MASS J15545024+3254137,15 54 50.41,32 54 11.61,DB,10603.0,8.036,74.89
2MASS J15593735+2529090,15 59 37.37,25 29 08.04,DA,8436.0,8.032,53.82
2MASS J16005982+3626100,16 00 59.86,36 26 09.82,DA+M,22292.0,7.81,69.0
2MASS J16232413+3436467,16 23 24.00,34 36 49.05,DA+dM,7596.0,8.038,60.37
2MASS J16263203+1355547,16 26 32.19,13 55 56.05,DA,6808.0,7.969,56.48
2MASS J16265989+4918028,16 26 59.78,49 18 05.25,DA,9372.0,8.01,64.74
2MASS J16392030+4030413,16 39 20.32,40 30 42.35,DA,8308.0,8.134,62.38
2MASS J16403197+2229289,16 40 31.99,22 29 26.75,DAZ,7487.0,8.056,71.17
2MASS J17051325+0423452,17 05 13.27,04 23 42.40,DA,8261.0,7.963,45.77
2MASS J17223000+2645275,17 22 29.92,26 45 27.77,DA,14861.0,7.99,62.99
2MASS J17281847+0211101,17 28 18.44,02 11 06.89,DA,8165.0,8.101,43.49
2MASS J17432300+1434519,17 43 22.70,14 34 56.93,DC,10224.0,7.947,34.33
2MASS J17470830+2859098,17 47 08.15,28 59 07.26,DC,4832.0,7.745,36.58
2MASS J18134856+2119206,18 13 48.58,21 19 21.24,DA,18200.0,7.95,75.77
2MASS J18195921+1739190,18 19 59.48,17 39 20.49,DC,4835.0,7.974,34.20
2MASS J18215954-5951484,18 21 59.39,-59 51 54.25,DA,4748.0,7.268,30.15
2MASS J18244431+6001596,18 24 44.31,60 01 59.93,DA,11800.0,7.77,96.11
2MASS J18441262+4120293,18 44 12.51,41 20 29.46,DA+M,7554.0,7.49,64.70
2MASS J18571395+2026292,18 57 13.92,20 26 23.59,DA,6649.0,8.291,32.61
2MASS J19131653+2949275,19 13 16.49,29 49 32.87,DA,6197.0,8.138,37.08
2MASS J19200281-3611025,19 20 02.97,-36 11 04.75,DB,21963.0,8.138,37.13
2MASS J19400895+8348579,19 40 00.36,83 48 51.28,DC,4805.0,8.31,35.73
2MASS J19492350+0747318,19 49 23.64,07 47 29.71,DA,9245.0,8.078,36.53
2MASS J20061696+5902273,20 06 16.91,59 02 25.59,DA,13850.0,7.758,76.16
2MASS J20124874-4659024,20 12 49.05,-46 59 05.84,DA,5809.0,7.993,27.76
2MASS J20453123+1526433,20 45 31.18,15 26 42.68,DA,13026.0,8.15,85.42
2MASS J20590586-0033476,20 59 06.05,-00 33 48.37,DA,7542.0,8.006,74.70
2MASS J21220558-3838347,21 22 05.82,-38 38 35.71,DC,5060.0,7.809,23.39
2MASS J21293521+0013321,21 29 35.14,00 13 31.68,DA,8845.0,7.16,65.43
2MASS J21420390+2252290,21 42 04.02,22 52 27.26,DZ,8839.0,7.87,46.42
2MASS J21550637+4103067,21 55 06.59,41 03 07.94,DZ,6525.0,8.313,59.16
2MASS J22103453+4532401,22 10 34.33,45 32 34.32,DC,5290.0,7.854,35.90
2MASS J22280206+1207334,22 28 02.02,12 07 32.64,DZ,6918.0,8.104,33.91
2MASS J22303724+1256212,22 30 37.31,12 56 21.43,DA,7503.0,8.455,42.54
2MASS J22304953-0945090,22 30 49.48,-09 45 09.89,DA,7279.0,7.919,68.95
2MASS J22385855+1313039,22 38 58.67,13 13 03.15,DAZ,8036.0,8.01,63.18
2MASS J22415762+1332390,22 41 57.70,13 32 32.81,DA,5990.0,8.257,35.69
2MASS J22452948-1002442,22 45 29.54,-10 02 45.05,DA,8740.0,8.354,56.62
2MASS J22593378+5717572,22 59 33.38,57 17 56.89,DA,5247.0,7.936,55.93
2MASS J23024490+4312478,23 02 44.65,43 12 46.88,DA,8033.0,7.963,52.47
2MASS J23053906+4334038,23 05 38.87,43 34 00.04,DC,4797.0,7.781,46.90
2MASS J23095848+5506491,23 09 59.29,55 06 50.20,DA,5531.0,8.107,16.42
2MASS J23390042+5316000,23 39 01.29,53 16 00.85,DA,6359.0,8.026,43.41
2QZ J112730.3-013801,11 27 30.50,-01 38 03.39,DZ,7575.0,8.06,97.42
2QZ J131125.1-003401,13 11 25.07,-00 34 02.00,DA,6459.0,8.331,82.33
2SLAQ J104912.65-000854.9,10 49 12.65,-00 08 55.38,DA,6792.0,8.022,82.79
2SLAQ J203853.55+003731.3,20 38 53.56,00 37 31.37,DA,7231.0,8.117,98.19
2SLAQ J210818.27-003310.3,21 08 18.32,-00 33 09.46,DA,6270.0,8.127,86.41
2SLAQ J214215.41-003636.0,21 42 15.50,-00 36 35.44,DC,6689.0,8.18,79.26
2SLAQ J223910.23-001155.6,22 39 10.32,-00 11 56.55,DA,7358.0,8.36,93.86
6dFGS gJ215027.8-011348,21 50 27.78,-01 13 51.39,DQ,8652.0,7.921,90.62
A2 287,12 59 34.57,27 54 51.91,DQ,9134.0,7.875,97.22
A2 42,12 48 36.26,29 42 29.91,DAH,6611.15654717117,7.957611156386247,64.35
BD+20 5125B,22 19 28.99,21 22 23.87,DC,4748.0,7.328,54.01
BD+34 2473B,13 57 09.41,33 48 03.16,DA,14501.0,7.962,94.42
BD+39 539B,02 24 42.03,40 07 42.79,DA,5977.0,8.001,41.75
BD+43 100B,00 33 03.18,44 44 12.42,DA,10005.0,7.97,76.82
BD+52 913,05 05 30.64,52 49 50.42,DA,60701.0,7.53,52.49
BD+80 670B,20 45 18.17,81 05 05.28,DA,8019.0,7.511,66.93
BD-01 343B,02 30 03.31,-00 22 48.33,DB4.4,,,83.36
BD-07 3632,13 30 12.44,-08 34 37.03,DA,14563.0,7.971,16.09
BD-18 3019B,10 45 36.93,-19 06 54.69,DQpec,5736.0,7.875,18.80
BPM 19652,09 35 38.01,-58 56 01.96,DA,22410.0,7.85,99.37
BPM 24602,17 02 56.33,-53 14 38.92,DA,15052.0,8.059,26.69
BSO 15,14 54 01.65,44 06 24.23,DA,7691.0,7.99,85.00
BSO 24,15 06 26.33,41 52 44.44,DZ,9151.0,8.076,95.42
CBS 130,10 50 46.04,33 15 46.19,DA,10965.0,7.98,86.18
CBS 173,14 15 49.01,42 58 48.61,DA,13592.0,8.165,81.91
CBS 206,14 51 56.30,42 21 41.33,DA,9413.0,7.929,60.35
CBS 289,14 51 18.72,51 10 47.51,DA,16621.0,8.499,91.21
CBS 377,13 41 15.46,35 45 54.93,DA,14578.0,8.004,85.70
CBS 418,16 12 49.16,32 55 35.63,DAH,11482.0,8.117,87.23
CBS 54,12 13 36.51,31 48 06.88,DA,11925.0,7.989,69.52
CD-32 5613,08 41 31.08,-32 56 11.38,DA,9086.0,7.77,8.52
CD-38 10980,16 23 33.94,-39 13 46.15,DA,24073.0,8.006,12.91
CPD-69 177,03 10 31.14,-68 36 05.03,DA,15866.0,8.077,10.40
CRTS J040449.3+280023,04 04 49.34,28 00 23.65,DA,29302.0,8.25,87.0
CSO 1001,13 35 00.98,36 10 00.25,DA,10040.0,7.983,79.42
CSO 1025,13 55 16.53,36 36 13.45,DQ,8046.0,7.906,86.03
CSO 1046,14 22 11.07,30 56 18.21,DA,8838.0,8.322,61.87
CSO 1094,15 29 34.91,29 28 01.87,DA,11146.0,8.574,87.18
CSO 20,09 50 03.35,32 38 29.55,DQA,8178.0,7.702,90.79
CSO 300,10 55 00.24,35 06 25.15,DA,14346.0,8.409,95.74
CSO 394,12 11 01.68,36 53 19.38,DA,9963.0,8.049,99.31
CSO 627,14 17 24.23,49 41 27.76,DC,9691.0,8.035,87.39
CSO 672,14 36 24.28,47 53 01.03,DA,8135.0,8.361,59.62
CSO 903,12 36 58.18,33 07 59.59,DC,9064.0,8.107,87.65
Cl* NGC 2682 MMJ 5440,08 51 06.06,12 01 57.58,DAH,11209.0,8.473,77.96
EC 04350-7742,04 32 52.73,-77 36 31.78,DA,,,87.17
EC 05089-5933,05 09 42.86,-59 29 37.62,DA,,,84.72
EC 10514-1447,10 53 54.56,-15 03 56.01,DA,20570.0,8.33,99.76
EC 11023-2810,11 04 44.04,-28 26 14.97,DA,17094.0,8.63,74.13
EC 12336-1625,12 36 13.80,-16 41 52.82,DA,24950.0,8.31,66.76
EC 21188-2715,21 21 44.92,-27 02 11.51,DA,,,68.19
EC 21470-5412,21 50 24.11,-53 58 38.29,DA,,,54.21
EC 22016-3015,22 04 34.66,-30 01 06.10,DAe,,,74.05
EGGR 1,00 09 35.02,31 08 38.53,DC,7890.0,7.96,53.47
EGGR 105,14 12 14.68,15 32 53.49,DA,4951.0,8.122,36.48
EGGR 111,14 50 48.50,07 33 26.70,DA,14862.0,7.867,75.43
EGGR 112,15 11 50.93,56 24 45.86,DA,9100.0,7.982,57.07
EGGR 117,16 11 25.62,13 22 09.23,DA,9550.0,8.608,22.27
EGGR 118,16 17 55.05,-15 35 54.78,DA,30200.0,8.02,46.64
EGGR 120,16 39 27.80,33 25 14.78,DA,9900.0,8.002,30.50
EGGR 126,18 29 09.88,-04 29 40.24,DAZ,8993.0,7.963,25.80
EGGR 128,18 59 49.37,11 58 43.04,DA,9633.0,7.878,49.32
EGGR 130,19 13 38.69,13 36 24.47,DA,13757.0,7.984,33.73
EGGR 133,19 42 12.98,37 31 59.97,DB,15626.0,7.907,49.56
EGGR 134,19 45 31.73,16 27 34.04,DA,17271.0,7.802,46.77
EGGR 140,20 44 21.98,-68 05 25.01,DA,16420.0,8.463,19.57
EGGR 155,22 49 06.15,22 36 32.94,DA,10135.0,8.617,17.83
EGGR 156,22 57 25.94,07 55 39.91,DAH,13407.0,9.286,45.52
EGGR 161,23 32 04.05,26 58 46.58,DAH,9703.0,8.457,29.14
EGGR 162,23 43 50.45,32 32 45.77,DA,12673.0,8.01,18.60
EGGR 167,00 39 04.00,31 31 34.94,DA,11629.0,7.98,85.68
EGGR 171,07 18 08.39,12 29 55.83,DA,7350.0,7.906,41.64
EGGR 174,15 58 04.77,-09 08 10.03,DA,14620.0,7.96,52.17
EGGR 177,18 30 39.62,-10 37 03.70,DA4.2,12016.0,7.649,69.64
EGGR 181,06 57 22.96,02 40 57.61,DC,8972.0,8.273,40.19
EGGR 182,08 59 14.30,32 57 12.10,DQA,9527.0,8.464,23.06
EGGR 183,10 15 02.30,08 06 38.32,DA,6653.0,7.96,29.49
EGGR 185,11 45 56.48,31 49 26.49,DA,16053.0,8.027,31.33
EGGR 188,13 19 13.04,45 05 11.63,DA,12850.0,7.331,49.06
EGGR 195,16 17 27.89,-12 57 49.16,DA,15543.0,7.841,64.50
EGGR 196,16 41 36.63,15 12 27.20,DA,7321.0,7.926,31.05
EGGR 23,03 35 17.68,32 11 58.22,DA,10163.0,7.965,47.43
EGGR 250,09 15 54.13,53 25 05.92,DCP,7155.0,8.217,10.27
EGGR 251,09 50 16.67,53 15 14.27,DQ,8053.0,7.906,27.60
EGGR 252,10 01 48.99,14 41 23.97,DC,6471.0,8.042,19.40
EGGR 253,10 16 06.33,-01 19 16.56,DA,7806.0,7.184,46.27
EGGR 259,16 37 40.60,13 40 32.56,DA,6709.0,7.959,45.62
EGGR 262,21 01 44.53,31 48 34.30,DQ,9851.0,8.056,32.24
EGGR 271,12 23 14.44,23 07 50.87,DAH,25989.303079123525,8.352996562711565,92.88
EGGR 272,14 06 19.73,-01 19 33.65,DBA,15224.0,7.96,77.69
EGGR 284,23 10 03.89,63 57 51.59,DA,18800.0,7.87,47.04
EGGR 29,04 09 29.03,17 07 54.04,DA,15512.0,8.393,50.04
EGGR 298,14 58 06.66,29 37 19.94,DAZ,7342.0,7.975,28.57
EGGR 30,04 10 10.40,18 02 22.43,DA,12987.0,7.993,34.11
EGGR 302,22 09 47.38,14 29 51.13,DA,7630.0,8.159,27.17
EGGR 31,04 12 43.62,11 51 47.52,DA,19637.0,7.933,43.40
EGGR 311,01 54 14.24,02 01 23.98,DA,12469.0,7.964,47.66
EGGR 314,02 36 19.88,52 44 09.75,DAH,17351.0,8.325,28.84
EGGR 316,04 40 23.98,13 58 45.55,DBA,15120.0,8.25,45.96
EGGR 317,04 43 59.38,51 06 27.51,DA,8537.0,8.004,43.16
EGGR 322,07 56 01.11,57 41 52.80,DC,9614.0,8.17,29.39
EGGR 324,09 33 40.86,29 11 20.48,DA,8278.0,8.477,29.44
EGGR 325,10 59 25.28,34 14 48.78,DBA,11960.0,7.999,54.97
EGGR 328,16 38 54.14,05 40 34.83,DA,8496.0,8.517,36.03
EGGR 330,18 13 35.21,32 48 40.99,DA,6510.0,7.992,44.22
EGGR 334,21 09 51.44,42 57 04.85,DC5,11303.0,8.027,56.61
EGGR 342,06 53 26.36,64 03 35.67,DA,5898.0,8.119,27.90
EGGR 344,07 53 27.11,52 29 27.38,DC,7164.0,8.281,21.82
EGGR 345,07 55 25.84,36 21 48.88,DA,7850.0,7.966,40.65
EGGR 346,08 05 37.60,38 32 07.98,DZ,10732.0,8.134,45.27
EGGR 353,11 45 44.09,63 05 53.64,DA,5525.0,7.929,24.01
EGGR 358,13 27 41.41,57 55 09.45,DA,6668.0,7.957,40.55
EGGR 360,13 47 23.40,10 21 35.76,DAZ,6964.0,8.0,20.81
EGGR 362,14 27 27.68,61 10 26.64,DQ,6372.0,7.948,42.90
EGGR 370,17 13 05.92,69 31 20.02,DA,15732.0,7.999,26.25
EGGR 371,17 38 41.63,05 16 03.11,DA,8816.0,7.988,45.47
EGGR 373,18 13 30.97,32 48 28.47,DA,7613.0,7.972,44.37
EGGR 376,20 09 36.85,51 12 05.23,DA,14080.0,7.95,97.68
EGGR 377,21 02 02.53,19 12 52.80,DA,6666.0,8.029,32.77
EGGR 380,23 25 58.05,25 52 17.97,DA,5880.0,7.535,46.06
EGGR 385,03 30 14.42,74 01 53.38,DC,7660.0,7.935,54.03
EGGR 39,04 33 45.07,12 42 40.13,DA,20799.0,8.104,47.32
EGGR 391,13 30 58.83,30 29 52.01,DZH,6351.0,8.093,25.54
EGGR 393,14 56 29.43,81 56 55.39,DB3.4,14697.0,8.023,53.58
EGGR 4,00 35 35.68,01 53 02.82,DA,10663.0,8.675,31.84
EGGR 411,02 31 41.44,27 09 53.14,DC,4824.0,7.858,28.16
EGGR 413,02 41 31.99,74 42 49.95,DA,8876.0,7.955,48.70
EGGR 417,04 10 17.88,19 54 21.07,DC,4965.0,8.181,29.13
EGGR 419,04 40 28.43,09 23 35.34,DA,6327.0,8.292,32.56
EGGR 42,04 41 01.84,10 59 39.83,DA,27458.0,8.154,49.20
EGGR 420,04 54 56.19,10 27 49.00,DA,7417.0,7.926,53.05
EGGR 421,06 07 15.58,73 31 50.27,DA,6522.0,8.517,32.25
EGGR 428,07 59 59.14,43 35 23.68,DCP,7215.0,8.695,21.96
EGGR 43,05 21 43.70,33 21 57.40,DA,8699.0,7.912,50.69
EGGR 437,13 32 50.74,01 17 01.95,DAH,7021.0,8.298,41.48
EGGR 462,01 04 56.23,21 19 51.98,DA,5287.0,8.369,32.62
EGGR 463,01 04 57.72,21 20 10.53,DC,4721.0,8.071,32.46
EGGR 465,01 27 44.92,-23 24 47.53,DBA,16610.0,8.26,74.42
EGGR 467,01 48 09.04,-17 12 32.11,DA,7186.0,7.843,76.71
EGGR 469,02 05 49.45,20 57 03.96,DAQ,16427.0,9.01,85.38
EGGR 472,02 42 08.63,11 12 28.31,DAH,8283.0,8.411,33.89
EGGR 474,02 51 52.00,73 41 32.79,DZ,7538.0,8.077,61.12
EGGR 476,02 59 59.66,08 11 55.22,DAH,6528.0,7.809,29.47
EGGR 478,03 54 54.32,07 46 05.83,DA,16380.0,7.87,86.67
EGGR 486,08 34 00.08,36 59 20.36,DA,8922.0,7.98,49.44
EGGR 489,15 25 42.81,56 29 06.27,DA,5497.0,7.852,32.22
EGGR 507,23 54 56.57,40 27 21.06,DQ,7902.0,8.033,22.08
EGGR 508,00 03 31.90,-16 43 58.40,DBA,12759.0,8.046,38.08
EGGR 509,00 07 35.02,-16 05 32.64,DA,11030.0,7.809,81.05
EGGR 51,07 10 14.04,37 40 15.05,DQ,6807.0,7.959,24.37
EGGR 511,00 35 18.20,-17 18 51.64,DAZ,9659.0,8.009,33.39
EGGR 513,01 03 24.59,-06 32 13.76,DBA,18300.0,7.934,43.28
EGGR 517,01 24 22.54,40 23 56.04,DA,5212.0,8.068,27.05
EGGR 518,01 30 22.80,-04 48 01.99,DA,16074.0,7.929,59.07
EGGR 519,01 45 11.62,31 32 41.21,DA,8848.0,7.519,36.62
EGGR 52,07 30 47.31,48 10 26.61,DA,4934.0,7.89,11.11
EGGR 528,06 00 27.45,23 43 09.90,DA,8305.0,8.009,66.35
EGGR 531,08 16 41.92,21 37 29.53,DA,6153.0,7.961,39.35
EGGR 532,09 05 14.94,09 04 23.21,DQ,8440.0,7.924,59.59
EGGR 533,09 45 07.68,23 27 21.94,DA,7197.0,7.985,62.27
EGGR 534,09 45 08.44,23 27 30.00,DA,6948.0,7.978,62.73
EGGR 536,12 50 07.22,54 46 46.12,DC,3780.0,7.544,23.70
EGGR 539,14 05 54.70,66 48 01.86,DC,3924.0,7.735,36.71
EGGR 551,21 42 08.89,13 28 42.82,DA,7616.0,8.01,46.96
EGGR 554,23 15 19.44,-02 09 37.76,DZ,6317.0,8.07,29.72
EGGR 555,23 19 08.87,-06 13 15.40,DC,4563.0,7.808,36.30
EGGR 556,23 25 18.68,-17 51 57.88,DA,22130.0,7.761,93.67
EGGR 557,23 38 52.89,-18 26 14.92,DA,7901.0,7.75,37.21
EGGR 561,00 40 22.91,-00 21 30.17,DA,10331.0,7.366,54.83
EGGR 562,00 54 46.47,22 56 08.48,DA,9654.0,8.627,36.53
EGGR 567,03 43 07.04,52 28 54.56,DA3.8,13093.0,7.506,93.53
EGGR 569,03 58 10.26,55 49 56.19,DA,8389.0,8.032,55.12
EGGR 57,07 55 08.88,-14 45 55.91,DA,19440.0,7.92,39.14
EGGR 570,03 58 16.92,46 28 39.95,DA+dM,8230.0,7.75,43.36
EGGR 574,16 26 13.78,47 38 44.48,DA,8646.0,7.474,76.51
EGGR 576,17 05 31.00,48 03 09.14,DA,13544.0,8.04,39.45
EGGR 577,17 05 30.48,48 03 11.24,DA,8742.0,7.112,39.40
